Country,Region,Happiness.Score,Log.GDP,Social.support,Life.Expectancy,Freedom.Choices,Generosity,Perceptions.Corruption
Finland,Europe,7.80870008468628,10.6392669677734,0.9543297290802,71.9008255004883,0.94917219877243,-0.0594820193946362,0.195444583892822
Denmark,Europe,7.64559984207153,10.774001121521,0.955990791320801,72.4025039672852,0.951444268226624,0.066201776266098,0.168489456176758
Switzerland,Europe,7.55989980697632,10.9799327850342,0.942846596240997,74.1024475097656,0.921336650848389,0.105911038815975,0.303728431463242
Iceland,Europe,7.50449991226196,10.7725591659546,0.974669575691223,73,0.948891878128052,0.246944218873978,0.71170973777771
Norway,Europe,7.48799991607666,11.0878038406372,0.952486574649811,73.2007827758789,0.955750286579132,0.134532630443573,0.263218194246292
Netherlands,Europe,7.44890022277832,10.8127117156982,0.939138829708099,72.3009185791016,0.908547818660736,0.207612439990044,0.364717125892639
Sweden,Europe,7.35349988937378,10.7587938308716,0.926311194896698,72.6007690429688,0.939144194126129,0.111614622175694,0.250880181789398
Austria,Europe,7.29419994354248,10.742823600769,0.928045868873596,73.0025024414062,0.899989485740662,0.0854292213916779,0.499954879283905
Luxembourg,Europe,7.23750019073486,11.4506807327271,0.906912207603455,72.5999984741211,0.905636429786682,-0.0046205879189074,0.367084294557571
Canada,Americas,7.23210000991821,10.6923685073853,0.927176654338837,73.6016006469727,0.933913230895996,0.124770767986774,0.390843361616135
United Kingdom,Europe,7.16450023651123,10.6001348495483,0.936682820320129,72.3016052246094,0.834743678569794,0.263732492923737,0.435915917158127
Israel,Middle East and Africa,7.12860012054443,10.4175252914429,0.913571238517761,73.2002563476562,0.747580587863922,0.102593719959259,0.780855059623718
Costa Rica,Americas,7.12139987945557,9.6581563949585,0.901545941829681,71.2998504638672,0.93473893404007,-0.102429710328579,0.786332428455353
Ireland,Europe,7.09369993209839,11.1609783172607,0.942081570625305,72.3007888793945,0.886982977390289,0.145784974098206,0.357184171676636
Germany,Europe,7.0757999420166,10.7328186035156,0.898874461650848,72.202018737793,0.867371082305908,0.0801793858408928,0.456422030925751
United States,Americas,6.93959999084473,10.9257688522339,0.91421902179718,68.2994995117188,0.84261953830719,0.14989173412323,0.699715316295624
Czech Republic,Europe,6.9109001159668,10.4041633605957,0.914430677890778,70.0479354858398,0.818537354469299,-0.230861514806747,0.85844624042511
Belgium,Europe,6.86350011825562,10.6736392974854,0.911632537841797,72.0016479492188,0.813582062721252,-0.0786911994218826,0.61229795217514
United Arab Emirates,Middle East and Africa,6.79080009460449,11.1099987030029,0.849181115627289,67.0827865600586,0.941345512866974,0.123450845479965,0.594502210617065
Malta,Europe,6.77279996871948,10.5338382720947,0.930379509925842,72.1999969482422,0.924911439418793,0.214965805411339,0.658547282218933
France,Europe,6.66379976272583,10.5842227935791,0.937103748321533,73.8019332885742,0.825467646121979,-0.130641967058182,0.583521127700806
Mexico,Americas,6.46500015258789,9.79779720306396,0.838665425777435,68.2990264892578,0.858709275722504,-0.175266623497009,0.806821584701538
Taiwan Province of China,Southern and Eastern Asia,6.45539999008179,10.7756853103638,0.894309103488922,69.5999984741211,0.771530330181122,-0.0731986984610558,0.731882929801941
Uruguay,Americas,6.44010019302368,9.94819259643555,0.922811269760132,69.0025482177734,0.892395436763763,-0.101103112101555,0.635994136333466
Saudi Arabia,Middle East and Africa,6.4064998626709,10.797812461853,0.874067068099976,66.3051452636719,0.854191243648529,-0.168695062398911,0.682619512081146
Spain,Europe,6.40089988708496,10.462926864624,0.921125411987305,74.4027099609375,0.751989543437958,-0.0509617142379284,0.76585990190506
Guatemala,Americas,6.39890003204346,8.92480564117432,0.816621482372284,64.8089447021484,0.908147573471069,-0.0429386645555496,0.783237457275391
Italy,Europe,6.38740015029907,10.4818363189697,0.889878571033478,73.6016845703125,0.664651989936829,-0.0434609986841679,0.873404681682587
Singapore,Southern and Eastern Asia,6.37709999084473,11.3955211639404,0.91026896238327,76.8045806884766,0.926645338535309,0.0298792235553265,0.109784193336964
Brazil,Americas,6.37559986114502,9.56643486022949,0.896723806858063,66.4801635742188,0.79980480670929,-0.101812392473221,0.770601272583008
Slovenia,Europe,6.36339998245239,10.3923225402832,0.939575672149658,71.1029891967773,0.93614262342453,-0.0806033834815025,0.81707102060318
El Salvador,Americas,6.34829998016357,8.90907573699951,0.806092262268066,66.1082611083984,0.83380526304245,-0.121072977781296,0.754319906234741
Kosovo,Europe,6.32520008087158,9.20442962646484,0.82072651386261,63.885555267334,0.861535906791687,0.190933763980865,0.922328293323517
Panama,Americas,6.30480003356934,10.034234046936,0.902094483375549,69.6030120849609,0.880366504192352,-0.153927713632584,0.851588904857635
Slovakia,Europe,6.28060007095337,10.347749710083,0.922493755817413,68.9063415527344,0.749952673912048,-0.124409303069115,0.918096125125885
Uzbekistan,Commonwealth of Independent States,6.25759983062744,8.74037170410156,0.9265958070755,65.1075744628906,0.974998116493225,0.248427152633667,0.501497387886047
Chile,Americas,6.22849988937378,10.032054901123,0.879713594913483,69.9006195068359,0.744896292686462,-0.0656683668494225,0.838239431381226
Bahrain,Middle East and Africa,6.22730016708374,10.6763801574707,0.876342117786407,68.5,0.905855774879456,0.133729189634323,0.739347100257874
Lithuania,Europe,6.21549987792969,10.3436260223389,0.926107108592987,67.294075012207,0.747381448745728,-0.219725295901299,0.809583842754364
Trinidad and Tobago,Americas,6.19189977645874,10.2600021362305,0.915294170379639,63.5,0.857907116413116,0.000526840682141483,0.912230610847473
